X,logFC,AveExpr,t,P.Value,adj.P.Val,B
COL3A1,-2.683094914,13.39888748,-9.171276829,3.75E-09,7.52E-06,11.00778428
A0A3Q2HCA2,2.158488537,9.759189607,9.020880818,5.06E-09,7.52E-06,10.72831914
COL15A1,-2.152004986,9.701023374,-8.635300635,1.11E-08,1.10E-05,9.996493699
HS3ST3B1,2.382493936,8.829205734,7.763712981,7.05E-08,5.24E-05,8.260012877
CXCL12,1.51645931,9.141555,7.451068233,1.40E-07,7.21E-05,7.609351833
CXCL14,2.550685289,9.387178164,7.434766037,1.46E-07,7.21E-05,7.575026755
TNN,-3.039463852,7.016622491,-7.05550368,3.41E-07,0.000122506,6.765513104
HSPG2,-1.800280208,12.37211818,-7.035425282,3.57E-07,0.000122506,6.722078237
CCN6,1.433816118,9.867450554,7.018702106,3.71E-07,0.000122506,6.685857801
NID2,-1.823471439,10.0981973,-6.95970457,4.25E-07,0.000126138,6.557759353
FAM171B,-1.243461267,9.467041935,-6.673890922,8.20E-07,0.000221474,5.930311536
SFMBT1,2.832513617,10.87760263,6.956176094,9.30E-07,0.000230254,5.84803602
LOXL2,-1.690769552,7.514392201,-6.557749344,1.07E-06,0.000245584,5.672166399
NDP,2.323426406,6.751578204,6.590400075,1.24E-06,0.000263837,5.549534074
ANXA4,-1.131567619,11.48384986,-6.386400489,1.61E-06,0.000318124,5.288078736
CEMIP,2.56399872,8.351573877,6.473066281,2.03E-06,0.000377294,5.098150313
PRSS35,1.446990959,7.527167845,6.300030239,2.41E-06,0.000406541,4.918459209
ADAMTS5,1.581211935,7.950212245,6.205703468,2.46E-06,0.000406541,4.879011581
CHST14,1.318298695,8.28544177,6.174586714,2.65E-06,0.000414727,4.808165989
TIMP3,2.16829954,13.63652445,6.149761646,2.81E-06,0.000417986,4.75156233
VWA1,-1.553311053,9.856595395,-6.052553361,3.55E-06,0.000483793,4.529222858
GREM1,2.273161833,11.58225607,6.048638012,3.58E-06,0.000483793,4.520244641
CSGALNACT1,1.343467646,7.60043487,5.999431819,4.03E-06,0.000520676,4.407262828
B3GNT9,1.648089121,7.502071382,6.111804759,4.55E-06,0.00055001,4.332718201
ITGB5,-1.020685716,8.423460953,-5.94190462,4.63E-06,0.00055001,4.274832791
GNB4,-1.264481913,6.530040849,-6.253751248,5.21E-06,0.000572902,4.239650852
PLOD1,1.565560146,8.522941434,5.922027422,4.85E-06,0.000554765,4.228990341
LOC100147109,2.283251971,8.428898229,5.790171258,7.91E-06,0.000839005,3.784467908
CCN5,1.753592946,8.293435928,5.813866923,1.08E-05,0.001037788,3.529371342
MFGE8,-1.190192974,16.66222126,-5.59893997,1.06E-05,0.001037788,3.478164144
COL9A1,-1.753010039,13.42463085,-5.596333358,1.07E-05,0.001037788,3.472065674
