X,logFC,AveExpr,t,P.Value,adj.P.Val,B
LTBP3,0.749643354,7.573641651,3.257064522,0.003503314,0.998285169,-3.984777403
CLEC3A,-0.512060174,13.09576773,-3.04862311,0.005744034,0.998285169,-4.049085879
DCPS,0.522453787,6.994686871,3.232055507,0.00403743,0.998285169,-4.059784614
TPP1,-0.830800977,8.421705907,-3.129580632,0.00491979,0.998285169,-4.061760449
PPP2CB,-0.581816369,6.743323185,-3.033091962,0.006157699,0.998285169,-4.089294139
FGF1,-0.656885386,8.558868759,-2.837308895,0.009392109,0.998285169,-4.114634734
MARCO,-0.860203268,7.701144573,-2.934979019,0.007721387,0.998285169,-4.117392046
CHAD,-0.492863746,17.65289805,-2.806936768,0.010070759,0.998285169,-4.124056769
PREX1,0.407552819,5.972668706,2.881756054,0.008722168,0.998285169,-4.132660938
BAG6,0.6389351,10.71525139,2.717618804,0.012346271,0.998285169,-4.151732358
COL27A1,-0.517681415,8.02112794,-2.688102168,0.013199529,0.998285169,-4.160862247
UBE2D3,-0.565362011,9.225444014,-2.824014653,0.01024062,0.998285169,-4.169502955
GDF10,0.697334494,6.838784533,2.588621337,0.016502205,0.998285169,-4.191545169
MAPRE2,0.948039539,5.959326123,2.641215335,0.014998348,0.998285169,-4.201662831
RTN1,-1.236926094,5.791035646,-3.991427156,0.001382451,0.998285169,-4.205462811
SNTB2,-0.305332723,8.028034616,-2.521058019,0.019170811,0.998285169,-4.212282279
FAHD2A,0.444009849,7.804083335,2.592213114,0.016717137,0.998285169,-4.215672935
LOC100630020,-1.291925984,9.282015446,-2.50092864,0.020040555,0.998285169,-4.218440968
ETHE1,0.763478355,9.158179385,2.600293022,0.016801163,0.998285169,-4.226322615
RPN2,-0.496463502,7.695790614,-2.439490608,0.022927303,0.998285169,-4.237173939
QNG1,0.31103935,7.737238729,2.374491701,0.026397142,0.998285169,-4.256872785
A0A9L0T229,-0.695194393,8.975263665,-2.361238885,0.027161542,0.998285169,-4.26087235
FAM32A,0.873489655,5.414001184,2.830906999,0.011648956,0.998285169,-4.273182698
BTF3,-0.617066057,5.976208856,-2.477068514,0.022418162,0.998285169,-4.27986218
ARFGEF2,-0.514784045,5.844657498,-2.763533911,0.013414116,0.998285169,-4.286187696
TMED9,-0.558539985,8.356941061,-2.367100062,0.027731718,0.998285169,-4.292835791
CARHSP1,0.848733884,7.602848573,2.438139949,0.024343522,0.998285169,-4.296843108
NME4,0.737332887,5.710889799,2.551402354,0.019626428,0.998285169,-4.297526197
MTMR10,0.535198928,6.772436446,2.403608681,0.026179433,0.998285169,-4.298415868
SHC1,0.459570244,5.917441091,2.407506695,0.025965914,0.998285169,-4.304385025
TMED4,-0.443882947,10.65197625,-2.210852626,0.037376974,0.998285169,-4.305785843
CNPY3,0.781952739,7.40124474,3.347721615,0.005369342,0.998285169,-4.314094051
CRLF1,-1.527845946,8.030747591,-2.8605383,0.012064234,0.998285169,-4.322755075
RPLP0,-0.350517674,10.60889521,-2.131783865,0.044048318,0.998285169,-4.32899528
PTPA,-0.441805733,8.663838961,-2.120678371,0.045066753,0.998285169,-4.332229586
ACYP2,-0.36338128,7.094616186,-2.12004175,0.045125771,0.998285169,-4.332414792
UNK,-1.605705048,8.991778361,-2.750028904,0.01505901,0.998285169,-4.333356707
CSDE1,0.330812191,7.131195382,2.211371204,0.038370538,0.998285169,-4.334056692
GMPS,0.38974805,7.323110415,2.192290091,0.039903875,0.998285169,-4.339055393
LOC100068926,1.852501861,8.770170752,2.567585317,0.020130706,0.998285169,-4.33916023
FKBP3,-0.35920202,8.854110656,-2.096537536,0.047353953,0.998285169,-4.33923721
GOLGB1,0.430846596,6.326373397,2.141179913,0.043720618,0.998285169,-4.342110502
LSM14A,-0.455840246,6.096450394,-2.156768791,0.042907647,0.998285169,-4.345800003
CDO1,0.748582114,6.598432882,2.179946519,0.040925289,0.998285169,-4.350124999
PAICS,-0.36869461,10.38529289,-2.044695093,0.052620643,0.998285169,-4.354174764
SEC11A,-0.832103084,7.303270885,-2.175739608,0.041892341,0.998285169,-4.355299446
STX5,0.36556632,7.125969247,2.030579269,0.0541424,0.998285169,-4.358214534
EIF3E,-0.321839784,6.881222966,-2.02776604,0.054450321,0.998285169,-4.359018193
PDCD6,-0.461960501,9.834963795,-2.021613425,0.055129188,0.998285169,-4.360774121
ABI3BP,0.681602787,7.791826643,2.016619503,0.055685728,0.998285169,-4.362197638
PRPF4,0.558535823,6.621927631,2.604132603,0.020134912,0.998285169,-4.362714916
CUTC,-0.323064,6.994375541,-2.061860956,0.051365907,0.998285169,-4.363588372
NUP43,0.715332518,5.217477482,2.114603426,0.046738516,0.998285169,-4.366559619
MAT2B,0.379385059,8.284573755,1.992011408,0.058501653,0.998285169,-4.369189235
PHLDB1,0.488117574,8.066150522,2.038220533,0.053865684,0.998285169,-4.369928829
HIBCH,0.381031203,6.054751083,2.257899193,0.036791236,0.998285169,-4.373101474
PCBD1,-0.525881492,9.430027475,-1.975676315,0.060439877,0.998285169,-4.373808827
ARL2,-0.300416503,7.591715212,-2.002445498,0.057855298,0.998285169,-4.375532197
AAMDC,-0.340877666,8.751184386,-1.957925272,0.062610264,0.998285169,-4.378808902
GBA1,-0.393881555,7.184238446,-1.948033191,0.063849343,0.998285169,-4.381586093
ADPRH,1.01894563,7.03625645,2.182914634,0.042722078,0.998285169,-4.382161561
SLC25A3,-0.45986746,7.904441275,-1.944954923,0.064239308,0.998285169,-4.382448954
PSPH,-0.411831088,7.457137065,-1.942804612,0.06451296,0.998285169,-4.383051317
GREM2,1.072797845,7.627320351,2.339614636,0.032817441,0.998285169,-4.383428705
MACROD1,-0.423763047,6.943639018,-2.162252635,0.044504193,0.998285169,-4.386567218
STK3,0.398398481,7.203456116,2.139894819,0.046509052,0.998285169,-4.39132424
PSMD2,-0.365848777,6.457515801,-1.902426217,0.069845362,0.998285169,-4.3943025
OGN,0.599474195,13.10646158,1.897137741,0.070571611,0.998285169,-4.395767504
SLC44A2,-0.827454591,7.272176371,-1.921776204,0.067828366,0.998285169,-4.397177611
SPAG9,-0.327855357,6.951949901,-1.929586341,0.066800575,0.998285169,-4.398664894
STT3A,-0.387258877,8.270331322,-1.886591708,0.072039604,0.998285169,-4.398682865
AKT1,0.345930722,6.702067209,1.928069077,0.066999163,0.998285169,-4.399061285
SMU1,-0.491280153,6.647662247,-1.92313818,0.067648139,0.998285169,-4.400348508
CD2BP2,0.600835021,5.734255645,2.464649941,0.027528089,0.998285169,-4.400981563
ILK,-0.331532881,8.636323474,-1.878131093,0.073236526,0.998285169,-4.401015819
A0A9L0SF58,-0.553081527,6.859673196,-1.942784399,0.065730567,0.998285169,-4.401079513
TMEM43,-0.42250432,9.179450702,-1.876061551,0.073531933,0.998285169,-4.401585672
PRKRA,-0.688516622,5.327735139,-1.900532632,0.07069464,0.998285169,-4.40281001
MCTS1,-0.508283494,8.918306178,-1.89072546,0.072053349,0.998285169,-4.405400221
ATXN2,-0.575261644,5.744267802,-2.563309887,0.02387679,0.998285169,-4.407076471
TARS3,-0.43248548,7.376941084,-1.947250895,0.065160815,0.998285169,-4.407818112
FCHO2,0.61380694,5.779808215,2.557182166,0.024153541,0.998285169,-4.407852611
IGSF10,0.495308007,6.779624292,1.84991814,0.077354025,0.998285169,-4.408756596
ARF2,-0.309872663,9.565718213,-1.845472896,0.078020806,0.998285169,-4.409970713
C13H7orf50,-0.600764617,6.044110544,-2.12547906,0.048726369,0.998285169,-4.410543147
