"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SIRT5",-2.62690691305023,6.11043939257778,-4.66748218543406,0.00019136354987357,0.201638346403042,0.474760885411404
"A0A3Q2L5E0",2.45652848582623,9.73706444184855,4.45933060647187,0.000240252316377227,0.201638346403042,0.452299132848331
"ETFB",-1.36376610529042,6.77193008713109,-4.39573308329175,0.000251971755739592,0.201638346403042,0.436634717302934
"PIN4",-1.41814156422692,6.88196607338241,-4.30617144670902,0.000312147822422488,0.201638346403042,0.261353003292632
"GRPEL1",-2.54833408357717,5.1994842150672,-4.42874111041129,0.000420731844953187,0.201638346403042,-0.185397017708167
"CCN1",1.67971341418011,8.18947396275784,4.02706232457193,0.000608537675381046,0.201638346403042,-0.287003403451133
"KRT16",2.38315214119768,6.51848132351004,4.00512116862785,0.000641301281046726,0.201638346403042,-0.330187288879526
"SEPTIN5",-1.36479254546741,6.32537759854912,-4.09689693443345,0.000613485152055907,0.201638346403042,-0.335390570111175
"PRDX3",-1.30465012846107,7.92440600328813,-4.03825867481352,0.000642755907115173,0.201638346403042,-0.344358864859484
"STOML2",-1.51992407223536,5.54200681516813,-3.91302135328068,0.000799090601558049,0.201638346403042,-0.511476061775999
"KRT42",1.64946186205058,7.76675018771312,3.89686158950336,0.000830511001952645,0.201638346403042,-0.543282373334915
"NDUFB10",-1.40757258034042,7.1811608716381,-3.88778037033058,0.000848703484839258,0.201638346403042,-0.561155359861331
"SERPINH1",-1.39757637770455,8.82244879970301,-3.87207306168784,0.000881108740584723,0.201638346403042,-0.592067122795198
"TUFM",-1.14866793568442,6.75890515521245,-3.79600082279679,0.00105626830927317,0.224457015720548,-0.741717186265071
"KRT6A",1.7287215440317,12.9185304551073,3.73297057527179,0.00122720496853384,0.243395652092546,-0.865598280981563
"ACO2",-1.21401679917696,9.15500423903859,-3.68572353717267,0.00137302013571875,0.255295931485205,-0.958363407579022
"OXCT1",-1.15892755712154,8.14046241157816,-3.50544487645206,0.0021039547277726,0.368192077360205,-1.3112070897357
"DSP",1.51589855231592,7.66846820771758,3.38725391920836,0.00277855964420266,0.418580127564576,-1.54117537977773
"APOA2",2.93536230062163,8.26244714880055,3.37022126086472,0.00289180354066078,0.418580127564576,-1.57420309566624
"RGN",-3.08441435077578,5.36891196387654,-3.46755978767277,0.00317111402354199,0.418580127564576,-1.66246678659236
"ATP5PO",-1.47509206846799,8.44795022551285,-3.32217804080732,0.00323608165848243,0.418580127564576,-1.66718856473951
"DHRS2",-1.82195933660651,4.39724060505068,-3.55899392730985,0.00314098527002566,0.418580127564576,-1.69767720896757
"ACAA2",-1.00403281561584,9.62525695034296,-3.29162747027162,0.00347548332387799,0.419982028395429,-1.72617557444133
"ATP6V0D1",-1.18145837213538,6.76439790559549,-3.30349594312224,0.0035459752724665,0.419982028395429,-1.7397090237041
"BMP2",-3.32544890104575,5.10273662544231,-3.69836450141123,0.00267500619901314,0.418580127564576,-1.77812626169923
"ARL6",1.48177013990626,6.678659441736,3.42453229221606,0.00376023078233215,0.419982028395429,-1.79733314474487
"CDO1",-1.88027987554594,6.59843288248958,-3.29433467747335,0.00381160160224423,0.419982028395429,-1.80077237630859
"HADHA",-0.967369001960259,9.45300455463269,-3.23311777718918,0.00398308600319072,0.423202887839014,-1.8388107286236
"PYCR2",-1.67495439986208,5.8653083957112,-3.17060007404872,0.00460505654672328,0.449343671865624,-1.95863096054059
"PGRMC1",-1.24405087351827,7.72643569314687,-3.18461835981085,0.00465461896675209,0.449343671865624,-1.96475161122398
