"","c105_old","c111_old","c151_young","c152_young","c154_young","c169_young","c170_young","c171_young","c172_old","c173_old","c175_young","c177_young","c50_old","c54_old","c61_old","c82_old","c83_young","c86_old","c95_old","c96_young"
"C1QC",9.78809983504367,9.70096193918224,11.06400926012,9.61515363141195,9.65832969649696,8.67438448610505,10.4785595506573,9.69063729158076,9.37964146570054,10.1202401335564,11.3239493890676,10.2661602584688,9.63550101941058,9.67771642201856,11.3388464037364,10.1631166180181,10.5913608167332,10.0253611748651,10.1208456739896,10.1303917675152
"AP1M1",6.62495500884515,6.49370919516019,6.66210258536531,6.92459007407186,6.554961001752,NA,6.27876042777028,NA,6.14380471664261,6.41316873645629,6.42104999943636,6.19264768650764,NA,6.2514915226221,NA,6.45787327155729,6.37404381387851,5.3522407935779,6.54075755034808,6.2768877115332
"LTBP4",8.07451838635373,8.75891083280825,8.80560862498483,8.16692586562419,8.06313459770837,8.48900476425289,9.09695216697024,8.45481546123336,7.52439263932123,7.96028293157639,9.28042872399155,7.54542539075283,8.55153298071715,8.15383192249962,7.72261761664396,7.81684902258472,9.0102099117423,8.01451737981308,7.75452607006196,7.15432592589018
"HMGB3",6.89676515395929,7.07366049810713,5.64410757352513,7.9889820476247,6.94585759829975,8.55828621728085,6.44702177610016,7.14821876842029,7.35131948619089,7.36955303767619,5.09716297897465,7.54229098785385,9.43464473150927,7.27990218835562,9.68565886335039,6.96419535799019,8.10352323352634,8.87465450791844,6.71577212953148,7.24317508352951
"ADSS1",7.61229458195406,7.51139073229231,10.0844051345072,10.3552024239267,9.63611542752166,10.1072466918392,9.56870314889648,10.375032907916,9.20555478141122,8.43498523904148,10.637608335787,9.60210247776884,8.2796815183089,9.56672231542113,9.31374263379568,9.07656586003067,11.791451914073,8.15965579732706,9.00390824216716,9.12028933847018
"PRPS2",7.1495722705421,7.71265053475617,6.59959766179611,6.79889141569759,7.32242271026482,6.83997965502959,7.17878050459489,6.60018598482734,8.15935464650561,7.72363221552183,NA,7.36242574046001,6.44513274301137,7.93607468840722,7.48366468538206,7.46996416364923,6.75434818185839,5.82450996482258,7.60297885642222,7.69353665628876
"EPS15L1",6.70721857314093,6.21418792644667,6.70230408007225,6.28184832955525,5.90006032285362,6.33122900711462,6.43948327931794,6.57332835501309,5.88758409050702,6.18377403763338,6.2730724376446,6.40037748454807,NA,6.19981240453288,NA,6.39853300641527,6.73996530907606,6.1940433335934,6.39685215791857,6.58279720133351
"PFKM",8.31571546796554,8.26124975015553,8.59266609381262,8.05361911412561,8.27533512182561,8.07581860768894,8.27620208223908,8.34774977935663,8.73900281453466,8.31214221055444,7.83168328506947,8.16158319955052,7.9332703035612,9.19970261588685,8.06223672065492,8.30694256153488,8.16636351616811,8.26694558734714,9.44633624126732,8.57306632719029
"FLG2",NA,6.7848964515516,NA,NA,7.14652474711405,NA,6.64550847148531,8.24240341133839,NA,5.10992668804363,NA,6.60734614562203,8.32640650107269,8.12836956483857,8.27134724308487,6.8962351800527,NA,NA,7.76627138258568,7.40103399565581
"CLEC3B",11.7398262577003,11.2882374261959,10.6465984961943,10.7687656206588,10.7502725039154,9.96148738736639,11.5675140665038,9.18423530175804,10.5365786205406,11.2453586681721,10.1037873507616,11.4284741137906,9.91483907540209,10.6329638231407,10.1463539249888,10.2808729161221,11.2828256747802,11.2152652731774,10.2186258680679,11.0386084897674
"PTER",8.32868829188583,8.30347114815989,8.54914166875101,7.29407815549719,8.01498528906237,8.31432429842933,8.24700101477153,7.63470481193555,8.17505479088875,8.57716796541165,7.03237697264527,8.47239196842157,6.84293134992076,8.04612818122569,7.86746176599344,8.44937855741362,8.52288070985363,8.13307854241416,8.51681990696851,7.35925039400184
"CTBP1",6.91475520981044,6.86995530357294,6.9642551256272,6.47376695840836,6.98338139050294,6.24950233221978,7.33650273323799,6.42269920392826,6.35496854354708,7.20108691834995,6.12315351488819,6.83701119296745,6.29239849543592,6.65447101145615,3.31209216673618,6.94385808080446,7.0110100449403,6.75261100866677,7.1840680495853,6.91670078090195
"LOC111771821",10.4785685089646,11.5395131161798,10.3498877059827,9.67180716334749,10.8612231477671,11.4217271893787,11.0807519087947,11.5880889370317,11.9783777539237,11.0803371117586,9.67889962420042,10.943960011227,11.1221607012043,11.4433884798584,11.6076223794362,11.0308763046835,10.8631641747085,10.8067215508823,11.5049967836597,10.6768067473875
"UBR4",6.41470135751583,6.37701547990981,6.24742381876075,6.08145046170717,6.12058410900592,5.8343900168198,NA,4.6894254757348,NA,5.86077451344951,6.27524683818705,4.96490382800834,7.38172038544917,6.10421558531018,NA,6.30605646581899,4.87573321372755,6.06066218798587,6.19344409747177,6.20291152912456
"FXR1",6.33585878392845,8.34591518636174,7.12390085564627,7.0996308404224,7.84319501993311,7.44357085781233,8.28229475238429,9.78574982427323,8.29618211713517,8.0825928943392,6.50654208608431,6.71053625031624,9.78059619511756,8.81528331577551,8.0422965421918,8.06225067621947,6.72593360757862,7.11854199630056,8.40491473400707,7.65890337820253
"LOC111772162",8.32490986835935,7.89026749787212,7.54323044131427,7.55071005097602,8.65441709671352,7.88013793592803,7.68187133994134,8.660066778729,8.12837708714023,8.19810199861386,7.6617513877231,8.03374955285717,8.72129392868795,8.32263021462309,7.70326834847054,7.25539072816363,9.20891985293745,8.30086422328124,7.47059126037448,8.59485000141585
"NUP58",7.71889150346898,7.18282200773232,7.53233720772143,NA,7.73296833274566,NA,NA,NA,7.47215394559486,6.84890354583835,7.51916326178039,6.74530360583052,NA,7.72117598646165,NA,7.37637255292524,7.5238523088952,8.29488631740297,NA,7.80515988609495
"NOP58",8.17558945538001,7.90859178030451,8.01862448452458,7.47268111589803,8.37629667634115,8.44662195134915,7.86294627422141,8.03296582014735,8.60607232757784,7.82119557328415,8.21640704226854,8.26506929597293,7.64584647482858,8.21570100000651,8.07504848278819,7.66342642226953,8.47109752504518,8.16334364564024,8.23387472088322,8.05621388053695
"HSPB1",13.7022581754834,13.7495211728355,13.990422782925,13.4632682531482,12.9194881232322,13.2455598434403,13.3528045040867,12.5354367886881,13.2852112553264,13.7344210323406,13.3057185576317,13.0324933507103,11.3557991544275,13.3484683375579,12.5949427571964,13.947565841026,13.1342559654895,13.3324955481519,13.5743525709435,13.4819079025215
"SH3GLB1",6.85087312335921,6.76613134286532,6.94760978413655,5.71043802854982,6.91551019482589,7.10138210125342,7.372199663094,NA,NA,7.59982454130096,6.71610152126243,7.14685831463847,NA,NA,NA,7.13685698989701,6.99981719262979,7.04150029358612,6.84585836366952,6.49551209331109
"ASPSCR1",5.92765155510744,6.11031455769196,6.55166292546234,6.6491621785843,5.54154988147614,6.04221824349886,6.18551690735718,5.21136389028021,NA,6.0752573575323,6.01108242237497,5.94568843231208,NA,6.17258744090407,4.4980100099398,5.9663240152468,6.12517490338433,6.34992610669828,NA,6.15972529466847
"IGF2",7.22943460915049,7.12474956495463,6.41282475589389,7.34500750457313,6.19093182933382,7.33053047286611,7.27132718136836,6.2120472527818,6.68791156987308,7.17825185358885,6.03371106753649,5.33187251436451,6.89405627152874,5.86793691187523,6.87961822574007,6.13043477314881,6.26169728301632,7.1595336329799,6.24215055939385,7.00132895832333
"MYO6",6.91789054199649,6.96140509161054,6.86860868721913,NA,6.81635246923484,6.59226430773343,NA,NA,7.22395744814689,6.4050970312436,6.56216831688241,6.27722829306616,NA,5.77350826363161,NA,6.63934403562868,5.77552595749159,6.58076669720572,7.377970300968,6.81904536744506
"PFKFB3",5.13970030848231,6.11456856746711,5.41875685812782,5.67293735329428,5.8657099821315,6.62731002220288,6.57174497956908,5.98094303823995,6.56052343987995,5.62740606158977,NA,5.98093235923008,NA,6.25379422759726,NA,5.86497417272125,5.98002282663209,NA,NA,5.47024944164658
"CDC42BPB",7.36672773742209,7.08296380186349,6.81591955139889,6.8095749709492,7.2576721530394,7.31232319007781,6.58529475015067,7.2626069868139,7.59223696365349,7.20677734820435,6.84511618551088,7.01276333171899,NA,6.77106653734251,NA,7.03008278708151,6.92638183413055,7.16377384679527,7.49151776876965,6.06047057088508
"NPC2",6.1523035024305,6.96922731951032,NA,6.87787460979018,NA,6.76512095128973,6.56046360633699,6.01994195286282,6.88514875935119,6.44390388746908,NA,5.2809472594474,6.31151353957354,6.8767765611396,3.71637887837309,NA,5.40975722039032,5.57096686222349,5.94528000084226,7.27678393707029
"PRKAR2A",6.87993792940899,6.36878272714315,7.23673393627214,6.99498823083269,6.54595753948509,6.74750101977689,6.67505318772633,5.88181221886059,6.02441052880206,6.89353263252342,7.2340067002967,6.86875783774367,5.82098061888852,6.41153633607536,5.54208223156024,6.53800250451774,6.86656040711798,6.67262627093522,6.28965393554401,6.80112341495041
"NARS1",7.83241955822594,8.00723958086136,8.03937047101121,7.6831364061666,7.97484046070886,8.15944136804226,8.06676548796105,8.2218014946906,8.45053740905995,8.29322900234692,8.1992110586353,8.48694934439269,6.9451358945606,8.26538953452478,7.80395165372693,7.70050509582572,7.72254574864286,8.01611537417181,8.96466640158369,8.14101897636767
"UGGT1",7.48236824525157,6.66296581974324,7.07867173377839,7.08279679036772,7.44043169744221,6.68484143606117,6.56447913667249,6.9503324326863,6.3371343029059,6.50856175006935,7.16290610753994,6.95671803285296,NA,6.2618384731303,7.1583882618878,7.02178866173367,6.90521409794027,7.15213838763755,6.37628434142004,6.68635270582473
"ACTN4",10.2996094210447,9.48405898225878,10.4258377653062,9.74723915907226,9.93692431585028,9.67320231096902,9.23505030898412,9.21337268618812,9.45699848448572,9.71152732187872,10.1283481852718,9.88399811141921,8.4716797156327,9.66600708869166,9.19109134572741,9.66801167776258,10.094819347551,10.1879418228745,9.78016543022772,9.75745526266284
"EPS8",8.08137370104003,7.49525759746216,6.98496832612101,7.23778135412109,8.11200125370727,7.06563941513769,7.47089332867602,7.49023312827032,7.51604937749275,7.29597019937224,NA,8.20970455272979,5.28470701117164,7.07767327494823,5.75718215759092,6.48838797686767,7.88511511769843,7.53444886559091,7.34513435087321,7.30751282906253
"BSG",9.79582161774061,8.88437412687936,10.2896843076202,9.8967327782889,9.84074242380819,9.10115159312184,9.16290187596846,8.48478205075798,8.23432648996394,8.54778958728154,11.0234716717043,9.22935886621635,7.80551848236787,8.88681963320086,6.73997364276614,9.44693391521849,9.15180938819176,9.53918635727825,8.929954721657,8.62957174177122
"ABCC1",7.4598654301761,6.16978416933785,6.69834008250079,7.24678873337656,7.30964154589151,6.63667117219814,7.203410520916,5.52419466404519,5.58086160257201,5.81238237911086,7.47621225603949,6.6040473249729,6.36264127850877,6.40686263410824,NA,6.44465303233545,7.16043690986285,6.56357314533531,6.30666006283874,7.16664256426895
"UAP1L1",9.23550397945351,9.19392050582787,10.2769804442546,9.95445922228688,9.23252277110923,9.37236609310026,9.59420762375994,9.03530991428237,9.1303272880278,9.32290887749234,9.843361647779,9.1656754064382,8.59295568677522,9.48191171221262,8.51505218080593,9.2431820756252,9.44573117771945,9.51929104859057,9.06107209911293,9.51057926325019
"CETN2",5.96562745923249,5.74355813507529,6.08280405042946,6.15509449041597,NA,5.72073894351096,5.48101817979496,NA,5.64074395582286,6.66400366021145,NA,NA,NA,4.99842655904813,5.62255566978567,6.75299606050443,5.60681934510924,6.07407735720269,5.69945130161846,5.44500768740037
"HNRNPA2B1",12.0058286097157,11.6080166791135,12.1357020541109,12.2690447075541,11.6843439138179,11.6106867163444,11.6327995411847,11.1086065734197,11.3557991544275,11.7009719437003,11.2958914331413,11.8744507032984,10.5441699468763,11.6955609661457,11.1375697179347,11.7657919978811,11.9314290153887,11.7781265462453,11.5677210244158,11.7636000400413
"TXNIP",7.93825168684114,6.78728855564883,6.75941149933742,6.59784860132508,7.1852335577823,5.89169539738328,7.09429619234891,5.90337083322799,7.1034016709382,6.80270819841984,7.22769215390676,7.38843077477617,NA,6.99600150289985,NA,6.79205115487223,6.78325821353245,NA,7.53443889600955,6.88247365279342
"PSMC5",8.68694194369524,8.32102253854485,8.73660578649083,8.4525522163104,8.63906399027229,8.34598084150858,8.60297363867027,7.87265513689507,8.24392231795746,8.85071148256836,8.79632718856682,8.78045961609931,7.71059765537801,8.68349093254822,8.10209394692083,8.72418312948657,8.69925894344371,8.81289984969603,8.15497062405635,8.79532242714854
"THOC2",5.67257176984192,4.4219097811654,5.70439841424486,5.85027737289206,5.74260319816861,6.09242473413898,NA,NA,NA,4.76999129921546,6.17457540108093,5.05670262538413,NA,5.67260798900278,NA,5.50671850057187,4.68338339649589,5.89263721396319,5.2270602725241,NA
"EIF4G2",6.51161474855254,5.97561023010767,6.43041949565732,6.27810379432597,6.59661784401952,6.26284172740681,6.14310185347246,5.38231149999559,6.53966970369788,6.49916144110532,6.60210776432246,6.74258587566408,6.39804907338806,6.64477137435413,6.7790204840633,6.13879762555125,6.69108420582158,6.39792921997116,6.7655987030477,6.22699201785246
"ARRB1",6.25114278321867,5.45973430402166,6.17994631831395,6.10624775769499,5.92223170457591,5.32543400969462,6.21633753043984,NA,6.54594486427492,6.10847784622119,6.17928586554674,6.21754456333686,NA,6.30650541040595,6.12171410688083,5.55413992112876,6.26382914517419,5.92949031401508,6.0202671193708,6.01742094538399
