sample_ID,age,sex,age_years
c83_young,young,female,1
c96_young,young,female,1
c152_young,young,female,1
c170_young,young,male,1
c171_young,young,male,1
c177_young,young,male,1
c175_young,young,male,1
c154_young,young,female,1
c151_young,young,female,1
c169_young,young,female,1
c61_old,old,female,1
c95_old,old,female,1
c172_old,old,female,1
c111_old,old,female,1
c82_old,old,female,1
c173_old,old,male,1
c50_old,old,male,1
c54_old,old,male,1
c105_old,old,male,1
c86_old,old,male,1
